House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
11,Preston Avenue,Caroline,Mills,58,Head,Married,Female,IT consultant,None,Christian
11,Preston Avenue,Declan,Mills,64,Husband,Married,Male,Geophysicist/field seismologist,None,Christian
12,Preston Avenue,Joshua,Hall,71,Head,Divorced,Male,Retired Ergonomist,None,Christian
12,Preston Avenue,Jemma,Hall,40,Daughter,Divorced,Female,Adult guidance worker,None,Christian
12,Preston Avenue,Charlotte,Hall,36,Daughter,Single,Female,Unemployed,None,Christian
13,Preston Avenue,Emma,Smith,35,Head,Single,Female,Research scientist (medical),None,None
13,Preston Avenue,Adrian,Price,36,Partner,Single,Male,"Journalist, newspaper",None,None
13,Preston Avenue,Jacob,Smith,4,Son,NA,Male,Child,None,NA
13,Preston Avenue,Marcus,Smith,2,Son,NA,Male,Child,None,NA
13,Preston Avenue,Shane,Matthews,57,Lodger,Single,Male,Chiropractor,None,Christian
14,Preston Avenue,Terence,Carter,42,Head,Single,Male,Landscape architect,None,Catholic
14,Preston Avenue,Charlotte,Brown,42,Partner,Single,Female,"Geologist, wellsite",None,Catholic
15,Preston Avenue,Stanley,Dean,51,Head,Single,Male,Animal technologist,None,Christian
15,Preston Avenue,Carly,Murphy,48,Partner,Single,Female,Geophysicist/field seismologist,None,Christian
15,Preston Avenue,Megan,Dean,14,Daughter,NA,Female,Student,None,NA
15,Preston Avenue,Danny,Dean,12,Son,NA,Male,Student,None,NA
15,Preston Avenue,Gordon,Dean,9,Son,NA,Male,Student,None,NA
16,Preston Avenue,Harry,Moore,61,Head,S,Male,Nature conservation officer,None,Christian
17,Preston Avenue,Rachael,Watson,59,Head,Married,Female,Risk manager,None,None
17,Preston Avenue,Terence,Watson,59,Husband,Married,Male,"Teacher, English as a foreign language",None,None
17,Preston Avenue,Elaine,Watson,30,Daughter,Single,Female,Corporate investment banker,None,None
18,Preston Avenue,Marcus,Miller,43,Head,Married,Male,Freight forwarder,None,None
18,Preston Avenue,Chloe,Miller,40,Wife,Married,Female,"Scientist, research (life sciences)",None,None
18,Preston Avenue,Simon,Miller,13,Son,NA,Male,Student,None,NA
18,Preston Avenue,Josephine,Miller,9,Daughter,NA,Female,Student,None,NA
18,Preston Avenue,Thomas,Miller,9,Son,NA,Male,Student,None,NA
19,Preston Avenue,Kate,Watson,57,Head,Married,Female,Primary school teacher,None,Methodist
19,Preston Avenue,Andrew,Watson,55,Husband,Married,Male,"Engineer, structural",None,Methodist
19,Preston Avenue,Kimberley,Watson,36,Daughter,Single,Female,Metallurgist,None,Methodist
19,Preston Avenue,Harriet,Watson,34,Daughter,Single,Female,Insurance account manager,None,Methodist
20,Preston Avenue,Annette,Waters,20,Head,Single,Female,University Student,None,Christian
20,Preston Avenue,Ellie,Smith,19,None,Single,Female,University Student,None,Catholic
20,Preston Avenue,Luke,Pearce,20,None,Single,Male,University Student,None,Catholic
20,Preston Avenue,Damian,Williams,21,None,Single,Male,University Student,None,Christian
21,Preston Avenue,Debra,Bell,66,Head,Single,Female,"Scientist, research (medical)",None,Christian
22,Preston Avenue,Denise,Smith,80,Head,Divorced,Female,"Retired Engineer, maintenance (IT)",None,Christian
23,Preston Avenue,Ann,Barnes,67,Head,Divorced,Female,Communications engineer,None,Muslim
23,Preston Avenue,Amy,Barnes,40,Daughter,Single,Female,Estate manager/land agent,None,Muslim
24,Preston Avenue,Kirsty,Perkins,34,Head,Single,Female,Unemployed,None,None
24,Preston Avenue,Stephanie,Yates,16,Daughter,NA,Female,Student,None,NA
24,Preston Avenue,Dawn,Yates,15,Daughter,NA,Female,Student,None,NA
24,Preston Avenue,Duncan,Yates,11,Son,NA,Male,Student,None,NA
24,Preston Avenue,Harry,Yates,8,Son,NA,Male,Student,None,NA
24,Preston Avenue,Darren,Yates,5,Son,NA,Male,Student,None,NA
25,Preston Avenue,Christine,Cooper,69,Head,Married,Female,Retired Scientific laboratory technician,None,Christian
25,Preston Avenue,Leon,Cooper,65,Husband,Married,Male,Trade mark attorney,None,Christian
26,Preston Avenue,Reece,Davis,55,Head,Single,Male,Accounting technician,None,None
26,Preston Avenue,Mohammed,Davis,14,Grandson,NA,Male,Student,None,NA
27,Preston Avenue,Carol,Payne,50,Head,Single,Female,Associate Professor,None,None
28,Preston Avenue,Jack,Marshall,60,Head,Single,Male,Public relations officer,None,Christian
29,Preston Avenue,Aimee,Yates,53,Head,Single,Female,"Librarian, academic",None,Christian
29,Preston Avenue,Lee,Haynes,52,Partner,Single,Male,Futures trader,None,Christian
30,Preston Avenue,Jill,Ahmed,76,Head,Married,Female,Retired Merchant navy officer,None,Methodist
30,Preston Avenue,Jeffrey,Ahmed,82,Husband,Married,Male,Retired Museum/gallery exhibitions officer,None,Methodist
31,Preston Avenue,Bethany,Henderson,20,Head,Single,Female,University Student,None,None
31,Preston Avenue,Gregory,Bolton,20,None,Single,Male,University Student,None,Catholic
32,Preston Avenue,Natasha,Matthews,55,Head,Divorced,Female,Unemployed,None,Christian
32,Preston Avenue,Glen,Matthews,16,Son,NA,Male,Student,None,NA
32,Preston Avenue,Brenda,Matthews,15,Daughter,NA,Female,Student,None,NA
32,Preston Avenue,Patrick,Howard-Matthews,10,Son,NA,Male,Student,None,NA
33,Preston Avenue,Victor,Dunn,61,Head,Married,Male,"Librarian, public",None,Methodist
33,Preston Avenue,Carole,Dunn,59,Wife,Married,female,Careers adviser,None,Methodist
34,Preston Avenue,Megan,Noble,67,Head,Widowed,Female,"Administrator, charities/voluntary organisations",None,Catholic
34,Preston Avenue,Reece,Noble,34,Son,Single,Male,Community development worker,None,Catholic
35,Preston Avenue,Joanna,Gordon,39,Head,Married,Female,"Teacher, adult education",None,None
35,Preston Avenue,Anthony,Gordon,40,Husband,Married,Male,Legal secretary,None,None
36,Preston Avenue,Zoe,Allen,65,Head,Widowed,Female,Civil Service fast streamer,None,Christian
36,Preston Avenue,Leanne,Wood,10,Granddaughter,NA,Female,Student,None,NA
37,Preston Avenue,Sally,Parsons,64,Head,Divorced,Female,"Engineer, materials",None,Christian
37,Preston Avenue,Gerald,Parsons,31,Son,Divorced,Male,Electronics engineer,None,Christian
38,Preston Avenue,Carolyn,Rogers,37,Head,Married,Female,Marine scientist,None,Christian
38,Preston Avenue,Gareth,Rogers,46,Husband,Married,Male,Arts administrator,None,None
38,Preston Avenue,Abdul,Turner,38,Lodger,Divorced,Male,Lobbyist,None,Methodist
38,Preston Avenue,Kimberley,Swift,30,Lodger,Divorced,Female,Private music teacher,None,None
39,Preston Avenue,Maria,Rahman,23,Head,Married,Female,Tourist information centre manager,None,Christian
39,Preston Avenue,Kevin,Rahman,20,Husband,Married,Male,University Student,None,Christian
40,Preston Avenue,Nicholas,Williamson,48,Head,Married,Male,Field trials officer,None,None
40,Preston Avenue,Cheryl,Williamson,45,Wife,Married,Female,Unemployed,None,None
41,Preston Avenue,Chloe,Rose,43,Head,Single,Female,Unemployed,None,Catholic
41,Preston Avenue,Amber,Rose,16,Daughter,NA,Female,Student,None,NA
42,Preston Avenue,Chelsea,Bell,48,Head,Married,Female,Occupational hygienist,None,None
42,Preston Avenue,Julian,Bell,48,Husband,Married,Male,"Lecturer, further education",None,None
42,Preston Avenue,Derek,Bell,15,Son,NA,Male,Student,None,NA
42,Preston Avenue,Anthony,Bell,14,Son,NA,Male,Student,None,NA
43,Preston Avenue,Gary,Kelly-Skinner,38,Head,Married,Male,Unemployed,None,None
43,Preston Avenue,Eileen,Kelly-Skinner,39,Wife,Married,Female,"Scientist, audiological",None,None
43,Preston Avenue,Jill,Kelly-Skinner,15,Daughter,NA,Female,Student,None,NA
44,Preston Avenue,Abbie,Howarth,80,Head,Widowed,Female,Retired Corporate treasurer,None,Catholic
45,Preston Avenue,Brandon,Davidson,32,Head,Married,Male,Unemployed,None,None
45,Preston Avenue,Barbara,Davidson,27,Wife,Married,Female,Further education lecturer,None,None
46,Preston Avenue,Karen,Vaughan,45,Head,Divorced,Female,Arts administrator,None,None
46,Preston Avenue,Victoria,Vaughan,20,Daughter,Single,Female,University Student,None,None
46,Preston Avenue,William,Thomas-Vaughan,17,Son,NA,Male,Student,None,NA
47,Preston Avenue,Katherine,Wong,53,Head,Divorced,Female,Medical technical officer,None,None
47,Preston Avenue,Nathan,Wong,17,Son,NA,Male,Student,None,NA
48,Preston Avenue,Michelle,Jackson,40,Head,Married,Female,Field seismologist,None,None
48,Preston Avenue,Liam,Jackson,39,Husband,Married,Male,Higher education lecturer,None,None
49,Preston Avenue,Heather,Bartlett,48,Head,Single,Female,Personnel officer,None,None
50,Preston Avenue,Susan,Faulkner,42,Head,Married,Female,Customer service manager,None,None
50,Preston Avenue,Martyn,Faulkner,43,Husband,Married,Male,Management consultant,None,None
51,Preston Avenue,Deborah,Stewart,53,Head,Single,Female,Unemployed,None,None
51,Preston Avenue,Gerald,Newton,56,Partner,Single,Male,Unemployed,None,None
51,Preston Avenue,Joanne,Stewart,19,Daughter,Single,Female,University Student,None,None
51,Preston Avenue,Lorraine,Stewart,10,Daughter,NA,Female,Student,None,NA
1,Storm Mission,Sophie,Thompson,67,Head,Widowed,Female,Customer service manager,None,Christian
1,Storm Mission,Sian,Thompson,26,Daughter,Divorced,Female,IT trainer,None,None
1,Storm Mission,Jamie,Thompson,22,Son,Divorced,Male,University Student,None,Christian
1,Storm Mission,Megan,Blackburn-Thompson,19,Daughter,Single,Female,University Student,None,Christian
1,Storm Mission,Emily,Blackburn-Thompson,17,Daughter,NA,Female,Student,None,NA
2,Storm Mission,Tom,Newman,31,Head,Married,Male,Cytogeneticist,None,None
2,Storm Mission,Gemma,Newman,30,Wife,Married,Female,Production engineer,None,None
3,Storm Mission,Amy,Bell,38,Head,Divorced,Female,"Research officer, trade union",None,Christian
3,Storm Mission,Katherine,Evans,48,Lodger,Divorced,Female,Make,None,None
3,Storm Mission,Claire,Clements,59,Lodger,Single,Female,Ergonomist,None,Methodist
4,Storm Mission,Diane,Turner,64,Head,Divorced,Female,Fine artist,None,Catholic
4,Storm Mission,Sam,Turner,38,Son,Single,Male,Unemployed,None,Methodist
5,Storm Mission,Laura,Tucker-Johnson,36,Head,Divorced,Female,Surgeon,None,None
5,Storm Mission,Toby,Tucker-Johnson,4,Son,NA,Male,Child,None,NA
5,Storm Mission,Gemma,Tucker-Johnson,3,Daughter,NA,Female,Child,None,NA
5,Storm Mission,Jean,Tucker-Johnson,3,Daughter,NA,Female,Child,None,NA
6,Storm Mission,Brett,Walker,43,Head,Divorced,Male,Unemployed,None,Catholic
6,Storm Mission,Victor,Walker,7,Son,NA,Male,Student,None,NA
6,Storm Mission,Ellie,Walker,1,Daughter,NA,Female,Child,None,NA
6,Storm Mission,Daniel,Walker,1,Son,NA,Male,Child,None,NA
6,Storm Mission,Duncan,Matthews,31,Lodger,Single,Male,Tax adviser,None,Methodist
7,Storm Mission,Nathan,Short,63,Head,Married,Male,Chief Financial Officer,None,None
7,Storm Mission,Lindsey,Short,59,Wife,Married,Female,Psychotherapist,None,None
8,Storm Mission,Jacob,White,45,Head,Single,Male,Artist,None,None
8,Storm Mission,Marc,Howells,40,None,Single,Male,Accounting technician,None,None
9,Storm Mission,Simon,Hunt,40,Head,Single,Male,Systems analyst,None,Christian
9,Storm Mission,Hayley,Smith,46,None,Single,Female,Planning and development surveyor,None,Christian
9,Storm Mission,Megan,Fisher,18,None,Single,Female,Student,None,NA
9,Storm Mission,Angela,Frost,44,None,Divorced,Female,Gaffer,None,Christian
9,Storm Mission,Lorraine,Roberts,48,None,Single,Female,Primary school teacher,None,Christian
10,Storm Mission,Christopher,Storey,32,Head,Married,Male,Television production assistant,None,None
10,Storm Mission,Charlene,Storey,30,Wife,Married,Female,Occupational therapist,None,None
10,Storm Mission,Ellie,Storey,6,Daughter,NA,Female,Student,None,NA
10,Storm Mission,Martyn,Storey,0,Son,NA,Male,Child,None,NA
11,Storm Mission,Jane,Reid,75,Head,Single,Female,"Retired Accountant, chartered public finance",None,Christian
12,Storm Mission,Tracy,Sutton,21,Head,Single,Female,"Administrator, education",None,None
12,Storm Mission,Ellie,Martin,62,None,Single,Female,"Nurse, learning disability",None,Christian
12,Storm Mission,Dennis,Thornton,57,None,Single,Male,"Education officer, community",None,Christian
13,Storm Mission,Sandra,Price,51,Head,Single,Female,"Horticulturist, amenity",None,Christian
13,Storm Mission,Dylan,Williams,28,None,Single,Male,Product designer,None,Christian
13,Storm Mission,Benjamin,Cox,21,None,Single,Male,University Student,None,Christian
14,Storm Mission,Lynne,Mitchell,37,Head,Married,Female,Further education lecturer,None,None
14,Storm Mission,Richard,Mitchell,38,Husband,Married,Male,"Nurse, adult",None,None
14,Storm Mission,George,Mitchell,12,Son,NA,Male,Student,None,NA
14,Storm Mission,Marilyn,Mitchell,12,Daughter,NA,Female,Student,None,NA
14,Storm Mission,Amy,Lewis-Mitchell,11,Daughter,NA,Female,Student,None,NA
15,Storm Mission,Margaret,Green,29,Head,Single,Female,Occupational therapist,None,Private
15,Storm Mission,Kim,Green,10,Daughter,NA,Female,Student,None,NA
16,Storm Mission,Sally,Hyde,45,Head,Single,Female,Homeopath,None,None
16,Storm Mission,Karl,Morgan,46,None,Single,Male,Energy engineer,None,None
16,Storm Mission,Grace,Roberts,60,None,Single,Female,Water engineer,None,Catholic
16,Storm Mission,Georgia,Harrison,52,None,Single,Female,Unemployed,None,Christian
16,Storm Mission,Thomas,Hughes,49,None,Single,Male,"Conservator, museum/gallery",None,None
17,Storm Mission,Charlotte,Butler,40,Head,Married,Female,Make,None,Methodist
17,Storm Mission,Ian,Butler,41,Husband,Married,Male,"Designer, graphic",None,Methodist
17,Storm Mission,Sarah,Butler,9,Daughter,NA,Female,Student,None,NA
17,Storm Mission,Richard,Butler,9,Son,NA,Male,Student,None,NA
17,Storm Mission,Pauline,Butler,8,Daughter,NA,Female,Student,None,NA
18,Storm Mission,Ellie,Mitchell,47,Head,Single,Female,"Teacher, secondary school",None,Catholic
18,Storm Mission,Anne,Mitchell,17,Daughter,NA,Female,Student,None,NA
19,Storm Mission,Darren,Richardson,45,Head,Single,Male,Unemployed,None,None
19,Storm Mission,Donna,Dodd,39,Partner,Single,Female,"Radiographer, therapeutic",None,None
20,Storm Mission,Amber,Cox,83,Head,Widowed,Female,Retired Statistician,None,Christian
21,Storm Mission,Jenna,Allan,40,Head,Divorced,Female,Unemployed,None,Christian
21,Storm Mission,Karen,Martin,14,Daughter,NA,Female,Student,None,NA
22,Storm Mission,Kate,Wade,39,Head,Married,Female,Banker,None,None
22,Storm Mission,Toby,Wade,42,Husband,Married,Male,Estate agent,Mental Disability,Catholic
22,Storm Mission,Anne,Wade,14,Daughter,NA,Female,Student,None,NA
22,Storm Mission,Richard,Wade,7,Son,NA,Male,Student,None,NA
23,Storm Mission,Leon,Hope,27,Head,Single,Male,Waste management officer,None,None
23,Storm Mission,Julie,Ward,23,Partner,Single,Female,"Loss adjuster, chartered",None,None
24,Storm Mission,Jane,Blake,24,Head,Married,Female,Camera operator,None,None
24,Storm Mission,Kieran,Blake,29,Husband,Married,Male,Site engineer,None,None
24,Storm Mission,Jack,Blake,1,Son,NA,Male,Child,None,NA
25,Storm Mission,Stanley,Owen,42,Head,Single,Male,Financial controller,None,Christian
25,Storm Mission,Shaun,Evans,30,None,Single,Male,Insurance underwriter,None,None
26,Storm Mission,Mary,Bond,54,Head,Single,Female,Analytical chemist,None,Christian
26,Storm Mission,Timothy,Bond,35,Son,Single,Male,Unemployed,None,Christian
26,Storm Mission,Katherine,Bond,31,Daughter,Divorced,Female,Radio producer,None,Christian
27,Storm Mission,Roy,Whitehead,29,Head,Married,Male,Forensic scientist,None,None
27,Storm Mission,Lauren,Whitehead,29,Wife,Married,Female,Prison officer,None,None
28,Storm Mission,Bethan,Davis,76,Head,Single,Female,Retired Hydrographic surveyor,None,Christian
29,Storm Mission,Eileen,Newman,39,Head,Married,Female,Visual merchandiser,None,Muslim
29,Storm Mission,Alan,Moore,45,Husband,Married,Male,Radiation protection practitioner,None,Muslim
30,Storm Mission,Declan,Martin,82,Head,Widowed,Male,Retired IT trainer,None,Christian
31,Storm Mission,Joan,Freeman,52,Head,Married,Female,"Scientist, research (physical sciences)",None,None
31,Storm Mission,Antony,Freeman,57,Husband,Married,Male,Neurosurgeon,None,None
31,Storm Mission,Gary,Freeman,17,Son,NA,Male,Student,None,NA
32,Storm Mission,Kimberley,Gregory,18,Head,Married,Female,Student,None,NA
32,Storm Mission,Gordon,Gregory,19,Husband,Married,Male,University Student,None,NA
33,Storm Mission,Danielle,Gardner,44,Head,Single,Female,Information officer,None,None
33,Storm Mission,Terence,Pearce,46,Partner,Single,Male,Arboriculturist,None,None
33,Storm Mission,Kim,Gardner,8,Adopted Daughter,NA,Female,Student,None,NA
33,Storm Mission,Philip,Gardner,7,Son,NA,Male,Student,None,NA
34,Storm Mission,Suzanne,Clark,21,Head,Married,Female,University Student,None,Sikh
34,Storm Mission,Jack,Clark,25,Husband,Married,Male,Ecologist,None,None
35,Storm Mission,Paula,Taylor,21,Head,Single,Female,Retail buyer,Mental Disability,Catholic
35,Storm Mission,Christopher,Campbell,50,None,Single,Male,Facilities manager,None,Methodist
35,Storm Mission,Margaret,Brookes,18,None,Single,Female,Student,None,NA
35,Storm Mission,Kayleigh,Smith,54,None,Single,Female,"Designer, blown glass/stained glass",None,Christian
35,Storm Mission,Hayley,Evans,25,None,Single,Female,Landscape architect,None,None
36,Storm Mission,Carl,Norris,27,Head,Single,Male,Agricultural engineer,None,None
36,Storm Mission,Hayley,Edwards,49,None,Single,Female,Games developer,None,Christian
36,Storm Mission,Tina,Heath,27,None,Single,Female,Unemployed,None,None
1,Hammond Lane,Ann,Wilkinson,25,Head,Married,Female,"Horticulturist, amenity",None,Muslim
1,Hammond Lane,Gareth,Wilkinson,31,Husband,Married,Male,Museum education officer,None,Muslim
1,Hammond Lane,Owen,Wilkinson,9,Son,NA,Male,Student,None,NA
2,Hammond Lane,David,Lane,38,Head,Married,Male,Proofreader,None,Christian
2,Hammond Lane,Kim,Lane,35,Wife,Married,Female,Engineering geologist,None,Christian
2,Hammond Lane,Leon,Lane,1,Son,NA,Male,Child,None,NA
3,Hammond Lane,Rita,Carter,48,Head,Widowed,Female,Politician's assistant,None,None
3,Hammond Lane,Brandon,Knight-Carter,15,Son,NA,Male,Student,None,NA
4,Hammond Lane,Vincent,Reynolds,42,Head,Married,Male,"Designer, fashion/clothing",None,None
4,Hammond Lane,Andrea,Reynolds,40,Wife,Married,Female,Brewing technologist,None,None
4,Hammond Lane,Andrea,Doyle,64,Lodger,Single,Female,Civil Service fast streamer,None,None
5,Hammond Lane,Joyce,Burke,63,Head,Single,Female,"Horticulturist, commercial",None,Catholic
5,Hammond Lane,Mark,Robinson,47,None,Single,male,Oceanographer,None,None
5,Hammond Lane,Anna,Walton,42,None,Single,Female,Unemployed,None,Catholic
6,Hammond Lane,Leslie,Edwards,51,Head,Divorced,Male,Systems analyst,None,Christian
6,Hammond Lane,Marc,Bowen,16,Nephew,NA,Male,Student,None,NA
6,Hammond Lane,Paul,Bowen,14,Nephew,NA,Male,Student,None,NA
7,Hammond Lane,Bernard,Campbell,51,Head,Married,Male,Aid worker,None,Catholic
7,Hammond Lane,Pamela,Campbell,46,Wife,Married,Female,Web designer,None,Catholic
7,Hammond Lane,Jamie,Campbell,12,Son,NA,Male,Student,None,NA
7,Hammond Lane,Sarah,Campbell,10,Daughter,NA,Female,Student,None,NA
7,Hammond Lane,Scott,Campbell,9,Son,NA,Male,Student,None,NA
8,Hammond Lane,Fiona,Long,49,Head,Single,Female,Exhibition designer,None,Christian
8,Hammond Lane,Maurice,Robinson,49,Partner,Single,Male,Location manager,None,None
8,Hammond Lane,Helen,Long,13,Daughter,NA,Female,Student,None,NA
8,Hammond Lane,William,Long,11,Son,NA,Male,Student,None,NA
9,Hammond Lane,Joan,Mills,42,Head,Single,Female,Television camera operator,None,None
9,Hammond Lane,Martin,Rowe,44,Partner,Single,Male,"Scientist, research (life sciences)",None,None
9,Hammond Lane,Shannon,Mills,0,Daughter,NA,Female,Child,None,NA
9,Hammond Lane,Mohammed,Sims,27,Lodger,Single,Male,"Engineer, electrical",None,Methodist
9,Hammond Lane,Dominic,Scott,31,Lodger,Single,Male,Clinical research associate,None,None
10,Hammond Lane,Linda,Manning,65,Head,Married,Female,"Scientist, marine",None,Christian
10,Hammond Lane,Gregory,Manning,64,Husband,Married,Male,Curator,None,Christian
11,Hammond Lane,Emma,Green,61,Head,Married,Female,Senior tax professional/tax inspector,None,None
11,Hammond Lane,Anthony,Green,67,Husband,Married,Male,Unemployed,None,None
11,Hammond Lane,Amanda,Green,19,Daughter,Single,Female,University Student,None,None
12,Hammond Lane,June,Read,24,Head,Married,Female,"Engineer, land",None,Methodist
12,Hammond Lane,Graeme,Read,23,Husband,Married,Male,Naval architect,None,None
12,Hammond Lane,Keith,Jenkins,56,Lodger,Single,Male,"Programmer, systems",None,None
12,Hammond Lane,Sam,Owens,36,Lodger,Single,Male,Magazine features editor,None,None
13,Hammond Lane,Conor,Chapman,70,Head,Married,Male,Retired Advice worker,None,Catholic
13,Hammond Lane,Rebecca,Chapman,66,Wife,Married,Female,Sports development officer,None,Catholic
14,Hammond Lane,Victor,Lees,23,Head,Single,Male,PhD Student,None,Catholic
14,Hammond Lane,Charlotte,Parsons,22,None,Single,Female,University Student,None,Christian
14,Hammond Lane,Clive,Hodgson,22,None,Single,Male,University Student,None,None
15,Hammond Lane,Rita,Ingram,47,Head,Single,Female,Youth worker,None,Methodist
15,Hammond Lane,Luke,Cook,49,Partner,Single,Male,Museum education officer,None,Methodist
15,Hammond Lane,Charlotte,Ingram,16,Daughter,NA,Female,Student,None,NA
16,Hammond Lane,Linda,Hale,47,Head,Single,Female,Biomedical engineer,None,Catholic
16,Hammond Lane,Jasmine,Hale,13,Daughter,NA,Female,Student,None,NA
16,Hammond Lane,Jack,Hale,13,Son,NA,Male,Student,None,NA
17,Hammond Lane,Carol,Smith,38,Head,Divorced,Female,Ceramics designer,None,Christian
17,Hammond Lane,Frances,Smith,1,Daughter,NA,Female,Child,None,NA
17,Hammond Lane,Antony,Skinner,33,Lodger,Divorced,Male,Hospital pharmacist,None,None
18,Hammond Lane,Aimee,Allen,35,Head,Married,Female,Herbalist,None,None
18,Hammond Lane,Brian,Allen,38,Husband,Married,Male,Oncologist,None,None
18,Hammond Lane,Victoria,Allen,18,Daughter,Divorced,Female,Student,None,None
18,Hammond Lane,Lydia,Allen,15,Daughter,NA,Female,Student,None,NA
18,Hammond Lane,Christian,Allen,10,Son,NA,Male,Student,None,NA
19,Hammond Lane,Paige,Herbert,47,Head,Single,Female,Media buyer,None,Christian
19,Hammond Lane,Joseph,Jones,46,Partner,Single,Male,"Designer, industrial/product",None,Christian
19,Hammond Lane,Hollie,Herbert,7,Daughter,NA,Female,Student,None,NA
19,Hammond Lane,Joyce,Herbert,5,Daughter,NA,Female,Student,None,NA
19,Hammond Lane,Vincent,Herbert,2,Son,NA,Male,Child,None,NA
19,Hammond Lane,Clive,Birch,34,Visitor,Single,Male,Sports coach,None,Muslim
20,Hammond Lane,Geraldine,Pearson,21,Head,Married,Female,University Student,None,Methodist
20,Hammond Lane,Toby,Pearson,23,Husband,Married,Male,Human resources officer,None,Methodist
20,Hammond Lane,Norman,Pearson,5,Son,NA,Male,Student,None,NA
21,Hammond Lane,Julia,Noble,48,Head,Single,Female,Unemployed,None,None
21,Hammond Lane,Mohammad,Noble,6,Son,NA,Male,Student,None,NA
21,Hammond Lane,Kevin,Noble,2,Son,NA,Male,Child,None,NA
22,Hammond Lane,Gregory,Johnson,42,Head,Married,Male,IT trainer,None,Methodist
22,Hammond Lane,Stacey,Johnson,39,Wife,Married,Female,Call centre manager,None,Methodist
22,Hammond Lane,Ryan,Johnson,0,Son,NA,Male,Child,None,NA
23,Hammond Lane,Elizabeth,Taylor,41,Head,Married,Female,"Scientist, biomedical",None,Methodist
23,Hammond Lane,Graeme,Taylor,45,Husband,Married,Male,Museum/gallery exhibitions officer,None,None
23,Hammond Lane,Ian,Taylor,19,Son,Single,Male,University Student,None,Methodist
23,Hammond Lane,Stephanie,Taylor,11,Daughter,NA,Female,Student,None,NA
24,Hammond Lane,Alexandra,Jennings,48,Head,Divorced,Female,Unemployed,None,None
24,Hammond Lane,Mark,Jennings,18,Son,Single,Male,Student,None,None
24,Hammond Lane,Joanna,Jennings,15,Daughter,NA,f,Student,None,NA
25,Hammond Lane,Sophie,Brennan,42,Head,Divorced,Female,Unemployed,None,Methodist
25,Hammond Lane,Catherine,Brennan,13,Daughter,NA,Female,Student,None,NA
25,Hammond Lane,Rosemary,Brennan,11,Daughter,NA,female,Student,None,NA
1,Sheffield Knoll,Pauline,Bradley,46,Head,Married,Female,"Teacher, primary school",None,Christian
1,Sheffield Knoll,Conor,Bradley,53,Husband,Married,Male,Chiropractor,None,Christian
1,Sheffield Knoll,Gerald,Griffiths,58,Sibling,Single,Male,Medical sales representative,None,Methodist
2,Sheffield Knoll,Jonathan,Roberts,30,Head,Married,Male,Product designer,None,Catholic
2,Sheffield Knoll,Ashleigh,Roberts,31,Wife,Married,Female,"Editor, magazine features",None,Catholic
3,Sheffield Knoll,Dominic,Perry,56,Head,Divorced,Male,"Engineer, automotive",None,None
3,Sheffield Knoll,Joel,Perry,27,Son,Single,Male,Water quality scientist,None,None
3,Sheffield Knoll,Josephine,Perry,25,Daughter,Divorced,Female,Biomedical engineer,None,None
4,Sheffield Knoll,Robin,Sanderson,41,Head,Single,Male,Podiatrist,None,Christian
4,Sheffield Knoll,Zoe,West,42,None,Single,Female,Arts development officer,None,None
5,Sheffield Knoll,Shannon,Doyle,100,Head,Widowed,Female,Retired Geophysicist/field seismologist,None,None
6,Sheffield Knoll,Lee,Woods,70,Head,Married,Male,Retired IT trainer,None,Methodist
6,Sheffield Knoll,Rosie,Woods,69,Wife,Married,Female,Retired Geophysicist/field seismologist,None,Methodist
7,Sheffield Knoll,Colin,Wilkinson,47,Head,Married,Male,Call centre manager,None,Christian
7,Sheffield Knoll,Valerie,Wilkinson,49,Wife,Married,Female,"Engineer, broadcasting (operations)",None,Christian
7,Sheffield Knoll,Julian,Wilkinson,16,Son,NA,Male,Student,None,NA
7,Sheffield Knoll,Cheryl,Wilkinson,15,Daughter,NA,Female,Student,None,NA
7,Sheffield Knoll,Lawrence,Wilkinson,14,Son,NA,Male,Student,None,NA
7,Sheffield Knoll,Sheila,Wilkinson,13,Daughter,NA,Female,Student,None,NA
8,Sheffield Knoll,Eileen,Phillips,36,Head,Single,Female,Mining engineer,None,Catholic
8,Sheffield Knoll,Frank,Barnes,46,Lodger,Single,Male,Herpetologist,None,Catholic
8,Sheffield Knoll,Hazel,Smith,49,Lodger,Divorced,Female,"Lecturer, further education",None,Muslim
8,Sheffield Knoll,Gerard,Jenkins,63,Lodger,Single,Male,"Engineer, maintenance (IT)",None,None
8,Sheffield Knoll,Rhys,Smith,63,Lodger,Divorced,Male,Unemployed,None,Christian
9,Sheffield Knoll,Hazel,Rowley,57,Head,Married,Female,"Education officer, museum",None,Christian
9,Sheffield Knoll,Denis,Rowley,61,Husband,Married,Male,"Designer, graphic",None,None
9,Sheffield Knoll,Sarah,Rowley,16,Daughter,NA,Female,Student,None,NA
10,Sheffield Knoll,Yvonne,Chan,49,Head,Single,Female,Acupuncturist,None,Christian
10,Sheffield Knoll,Beverley,Wood,54,None,Single,Female,Broadcast presenter,None,Christian
10,Sheffield Knoll,Jade,Vaughan,18,None,Single,Female,Student,None,NA
10,Sheffield Knoll,Jean,Williams,39,None,Single,Female,"Journalist, broadcasting",None,Christian
10,Sheffield Knoll,Gary,Evans,20,None,Single,Male,University Student,None,Sikh
